location,store,address,country,country_code,day,time,organizer,description,last_verified,lat,lng,precision
"Alameda, CA, USA",D20 Games,"1502 Park St, Alameda, CA 94501",USA,us,Wednesdays / First Saturday of the month,7:00 PM / 10:30 AM,localmax295,"Full proxy-friendly, extra decks available, casual jams on wednesdays, $25 entry tournament first saturdays",Jun 5 2026,37.765428,-122.241637,address
"Anchorage, AK, USA",BOSCO'S,"2301 Spenard Rd. Anchorage, AK 99503",USA,us,Thursdays,6:30 PM,https://discord.gg/C58st8H9B9,"Casually competitive, Reserved List proxies allowed, $8 entry, 3 rounds",Dec 2 2025,61.199956,-149.906173,address
"Ankeny, IA, USA",Atlas Games,"502 N Ankeny Blvd Suite 9, Ankeny, IA 50023",USA,us,Fridays,6:00 PM,https://discord.gg/mWRRYNfH4f,,Dec 3 2025,41.736157,-93.600953,address
"Appleton, WI, USA",Slick Mimic's Board and Card Game Shoppe,"792 W Northland Ave, Appleton, WI 54914",USA,us,Every other Wednesday,6:00 PM,https://discord.gg/MjUGxggHEz,"Full proxy-friendly, free entry, loaner decks available.",Mar 18 2026,44.287430,-88.418813,address
"Austin, TX, USA",Dragon's Lair Austin,"2438 W Anderson LN B1, Austin, TX, 78757",USA,us,Mondays,6:30 PM,https://discord.gg/mvrG3vbM27,"Full proxy-friendly, $10 entry, loaner decks available, casual games Fridays",Dec 2 2025,30.358039,-97.732797,address
"Bowling Green, KY, USA",HobbyTown,"2345 Russellville Rd, Bowling Green, KY 42101",USA,us,"Fridays, and Last Sunday of every month",5:00 PM,deep_purp13/zattack123,"Full proxy-friendly, extra decks available",Apr 8 2026,36.969959,-86.479079,address
"Cedar Rapids, IA, USA",First Turn Games,"3645 1st Ave SE Cedar Rapids, IA 52402",USA,us,Fridays,6:00 PM,,"10 Proxy, $8 Entry, 4 rounds, 1 pack per win",Dec 3 2025,42.015307,-91.633422,address
"Chaska, MN, USA",The Forge MN,"230 Pioneer Trail, Chaska, MN 55318",USA,us,Wednesdays,6:00 PM,https://discord.gg/ZapdKt77be,"Full proxy-friendly, $10 entry, 3 rounds, pack per win.",Dec 3 2025,44.828373,-93.609657,address
"Chaska, MN, USA",The Forge MN,"230 Pioneer Trail, Chaska, MN 55318",USA,us,2nd Saturday of every month,5:30 PM,https://discord.gg/ZapdKt77be,"Full proxy-friendly, $10 entry, 4 rounds, top 4 prize split in store credit",Dec 3 2025,44.828373,-93.609657,address
"Chester, NY, USA",Darkstone Comics,"69 Brookside Ave STE 208, Chester, NY, 10918",USA,us,Every other Friday,6:00 PM,https://discord.gg/RnBB4yZVma,"Full proxy-friendly, extra decks available",Dec 3 2025,41.354174,-74.281038,address
"Chester, VA, USA",Modern Table Top Gaming,"15901 Jefferson Davis Hwy, Chester, VA 23834",USA,us,Wednesdays,6:30 PM,https://discord.gg/XTD2E2yzfq,"Full proxy-friendly, $5 entry, top X wins store credit",Dec 3 2025,40.330500,-78.918328,postcode
"Cincinnati, OH, USA",Maverick's Cards and Hobbies,"1065 Reading Rd. Mason, OH 45040",USA,us,Tuesdays,6:30 PM,,"10 proxy, $5 entry, usually 4 rounds",Dec 8 2025,39.352152,-84.321112,address
"Clinton Township, MI, USA",Gamer's Gauntlet,"20564 Hall Rd, Clinton Township, MI 48038",USA,us,Thursdays,6:30 PM,https://discord.gg/zeVkAfd,"Proxies of high value cards $100+ allowed, $10 entry",Dec 3 2025,42.628314,-82.917408,address
"Clinton, IN, USA",Gone Lucid Games,"708 E 3rd St, Clinton, IN, 47842",USA,us,Every other Sunday,4:00 PM,,"Fully proxy-friendly, prizing TBD",,39.656882,-87.399654,address
"Collinsville, IL, USA",The Underground Dojo,"209 E Main St, Collinsville, IL 62234",USA,us,1st Monday of every month,7:00 PM,,"Full proxy-friendly, $10 entry",Dec 3 2025,38.670841,-89.984461,address
"Denver, CO, USA",Enchanted Grounds - Highlands Ranch,"8800 S Colorado Blvd, Highlands Ranch, CO 80126",USA,us,Third Saturday of every month,10:00 AM,https://discord.com/channels/286566204041068546/1461989724540633112,"Full proxy-friendly, free entry, extra decks available, beginner friendly, will do paid entry if store offers prize support for larger groups, can reach out to dan782 for more info",,39.557171,-104.941110,address
"Duluth, MN, USA",The Loch Café & Games,"318 N 18th Ave E, Duluth, MN 55812",USA,us,At Organizer's Discresion,12:00 PM,,"Full proxy-friendly, $20 entry, 1st event July 26",Jul 6 2026,46.806590,-92.079577,address
"Eden Prarie, MN, USA",Acute Games,"6407 City West Parkway Suite 5C, Eden Prairie",USA,us,Saturdays,6:30 PM,https://discord.gg/EVdzSaPzYG,Full proxy-friendly,Jan 21 2026,44.887117,-93.417706,address
"Fort Myers, FL, USA",Dungeon Games,"16520 South Tamiami Trail ste 146, Fort Myers, FL",USA,us,Saturdays,4:00 PM,https://discord.gg/Eeepa8qyak,"Full proxy-friendly, free entry, extra decks available, beginner friendly",2/14/2026,26.640628,-81.872308,city
"Franklin, WI, USA",Game Universe,"6538 S Lovers Lane Rd, Franklin, WI 53132",USA,us,Fridays,7:00 PM,,"Full proxy-friendly, $10 entry, 2 packs per win + 2 packs to top placement",Dec 27 2025,42.925868,-88.046167,address
"Garden Grove, CA, USA",Brookhurst Hobbies at Brookhurst Club,"12072 Brookhurst St, Garden Grove, CA 92840",USA,us,4th Sunday of Every Month,2:00 PM,WoF,"Full proxy-friendly, $5 entry, 3 round swiss, 2 packs for 2-1 or better for 8+ people",,33.787484,-117.958600,address
"Huntington Beach, CA, USA",Paper Hero's Games Huntington Beach,"18502 Beach Blvd Unit 120, Huntington Beach, CA 92648",USA,us,Second Sunday of Every Month,3:00 PM,https://discord.gg/XZwK9jfp,"Full proxy-friendly, $10 entry",,33.693788,-117.988644,address
"Ipswich, MA, USA",Nostos Games,"21 S Main St, Ipswich, MA 01938",USA,us,Thursday (once each month),6:00 PM,,"Full proxy-friendly, $0 entry",Jan 6 2026,42.679468,-70.837105,address
"Ithaca, NY, USA",Cantrip Cards and Games,"207 Elmira Rd, Suite 100, Ithaca, NY 14850",USA,us,Tuesdays,5:30 PM,https://discord.gg/PMEpHqHxeT,$5 entry,Dec 3 2025,42.430141,-76.503458,address
"Kent, WA, USA",Wizard's Keep Games,"20514 108th Ave SE, Kent, WA 98031",USA,us,Thursdays,5:00 PM,https://discord.gg/K5MXKWBRsD,"Weekly casual jam, first Thursday of the month is @6pm, $10, 3 rounds of swis with prizing.  Full proxy.",Jun 29 2026,47.418339,-122.195493,address
"Lakeland, FL, USA",Intergalactic Plastic,"4419 S Florida Ave, Lakeland, FL, 33813",USA,us,After FNM,10:30 PM,https://discord.gg/4VSESnvVZN,"Full proxy-friendly, Free entry unless its a tournament, Store credit prizing",,27.985325,-81.956993,address
"Lexington, KY, USA",Legendary Games,"320 N Ashland Ave, Lexington, KY 40509",USA,us,Most Saturdays,3:00 PM,zattack123,"Full proxy-friendly, extra decks available, casual jams for now with thoughts on bigger events, DM Zattack on the discord for more info",Apr 8 2026,38.039306,-84.478164,address
"Lincoln, NE, USA",Mana Games Cafe,"701 P St SUITE 102, Lincoln, NE 68508",USA,us,1st Saturday of every month,11:00 AM,ToxicDuskTRX,"Full proxy-friendly, $8 entry, $5 for store members. extra decks available, with store credit prizing. Contact ToxicDuskTRX on discord for info","Feb 13, 2026",40.814444,-96.711092,address
"Los Angeles, CA, USA",Turn Zero Games,"3959 Wilshire Blvd ste a-9, Los Angeles, CA 90010",USA,us,Every other Saturday,1:00 PM,https://discord.gg/adMNc4R,,"Dec 16, 2025",34.061879,-118.313481,address
"Madison, WI, USA",Misty Mountain Games,"4672 Cottage Grove Rd, Madison, WI 53716",USA,us,Wednesdays,6:30 PM,https://discord.gg/mAeZVCsW,"Full proxy-friendly, $10 entry, $6 back in store credit per win",Dec 3 2025,43.084308,-89.301645,address
"Manhattan, NY, USA",Hex & Company,"2911 Broadway, New York, NY 10025",USA,us,Wednesdays,7:00 PM,https://discord.gg/btSeqWvVtt,"Full proxy-friendly, $15 entry, store credit prizes",Dec 3 2025,40.806546,-73.965304,address
"Manhattan, NY, USA",Whole Foods Union Square,"4 Union Square E, New York, NY 10003",USA,us,Final Thursday / Mid-month Saturday 1x Month,6:00 PM / 1:00 PM,https://discord.gg/k82kH9Nrn2,"Casual jams, Full proxy-friendly, loaner decks available, join the Discord or contact @Cyclopes8 for meetup details",,40.735444,-73.989724,address
"Matthews, NC, USA",To The Table Board Game Cafe,"1013 Chestnut Ln Suite 120, Matthews, NC 28104",USA,us,Tuesdays,7:00 PM,https://discord.gg/tothetablebgc,"Our weekly Canadian Highlander Meetup! $10 entry, 3 rounds, $10 store credit per wi",Mar 10 2026,35.069759,-80.697828,address
"Minneapolis, MN, USA",Steamship Games,"711 W Lake St Suite 103, Minneapolis, MN 55408",USA,us,Thursdays,6:30 PM,https://discord.gg/mJUdqAw3PM,"Full proxy-friendly, $10 entry",Dec 3 2025,44.948172,-93.288832,address
"Minneapolis, MN, USA",Dumpster Cat Games,"4357 Minnehaha Ave, Minneapolis, MN, 55406",USA,us,Mondays,6:00 PM,,"Full proxy-friendly, $10 entry",,44.923540,-93.216569,address
"Naperville, IL, USA",Graham Cracker Comics,"1271 Rickert Dr #135, Naperville, IL 60540",USA,us,*TENTATIVE* Tuesdays,,,Proxy Friendly,,41.748426,-88.170286,address
"Naperville, IL, USA",Chupacabra Games,4003 Plainfield-Naperville Rd #113,USA,us,Every other Tuesday,7:00 PM,https://discord.gg/EKqUuMwH48,"Full proxy-friendly, $7 entry, Alternating Tuesdays with Legacy on the off weeks",Dec 3 2025,41.695953,-88.167328,address
"Plymouth, MA, USA",Awesome CCG,"135 Samoset St, Plymouth, MA 02360",USA,us,Tuesdays,18:00:00,https://discord.gg/qd3cMsAV,Full proxy friendly,Apr 7 2026,41.953684,-70.684753,address
"Portland, OR, USA",Players' Union Games,"7311 NE Sandy Blvd, Portland, OR 97213",USA,us,Sundays,12:00 PM,https://discord.gg/n8nQ3uFQxv,"Full proxy-friendly, $5 entry",Dec 2 2025,45.549013,-122.587670,address
